Date,Latitude,Longitude,Altitude,NO2,PM2.5,O3,PM10,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),is_day (),PM2.5/N02,PM2.5/03,Weekend,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
2023-08-28 22:35:00+00:00,46.234818,15.267305,240.0,0.6931471805599453,1.9459101490553132,101.0,2.70805020110221,18.9,97.0,17.889579873372135,15.276318410093007,0.2,0.2,0.0,6.878429449600309,100.0,5.1,4.0,12.529680472562475,-0.8867319296326107,0.0,1.252762968495368,-2.6692103677859462,0,False,False,True,False
2023-08-28 23:35:00+00:00,46.234818,15.267305,240.0,1.9459101490553132,1.3862943611198906,93.0,1.9459101490553132,18.6,97.0,17.697272501756178,15.150045311116578,0.1,0.1,0.0,6.877708357629841,100.0,4.4,351.0,12.478995493566135,-0.9014021193804044,0.0,-0.5596157879354228,-3.146305132033365,0,False,False,True,False
2023-08-29 00:35:00+00:00,46.234818,15.267305,240.0,0.6931471805599453,0.6931471805599453,82.26666960896216,1.6094379124341003,17.8,91.0,15.965276307922261,14.197429756072417,0.1,0.1,0.0,6.879561544611355,100.0,3.3,276.0,12.224761524183803,-0.9187938620922735,0.0,0.0,-3.7168188585685193,0,False,False,True,False
2023-08-29 01:35:00+00:00,46.234818,15.267305,240.0,2.0794415416798357,1.0986122886681098,85.0,1.791759469228055,17.6,95.0,16.35036133519788,13.749363676728047,0.1,0.1,0.0,6.878738329911644,100.0,7.6,19.0,12.12268440696546,-0.9263410677276565,0.0,-0.9808292530117262,-3.3440389678222067,0,False,False,True,False
2023-08-29 02:35:00+00:00,46.234818,15.267305,240.0,1.0986122886681098,1.0986122886681098,69.0,1.791759469228055,17.3,97.0,16.446614575340085,13.492272550943856,0.4,0.4,0.0,6.879252918509425,100.0,8.9,43.0,11.969149582934099,-0.9213032736976993,0.0,0.0,-3.1354942159291497,0,False,False,True,False
2023-08-29 03:35:00+00:00,46.234818,15.267305,240.0,2.772588722239781,1.0986122886681098,52.0,1.791759469228055,16.9,96.0,15.772689968316222,13.298937621146695,7.5,7.5,0.0,6.8790471148453936,100.0,6.1,93.0,11.866509636549937,-0.8509712657535126,0.0,-1.6739764335716716,-2.8526314299133175,0,False,False,True,False
2023-08-29 04:35:00+00:00,46.234818,15.267305,240.0,1.0986122886681098,1.0986122886681098,56.0,1.6094379124341003,16.6,97.0,15.580073953225332,12.975704952019454,1.3,1.3,0.0,6.878120473852446,46.0,6.7,106.0,11.71211763400107,-0.8556661100577202,0.0,0.0,-2.9267394020670396,0,False,False,True,False
2023-08-29 05:35:00+00:00,46.234818,15.267305,240.0,1.0986122886681098,1.0986122886681098,53.0,1.6094379124341003,16.8,95.0,15.580073953225332,13.10515102423917,0.1,0.1,0.0,6.878532420305234,98.0,6.9,47.0,11.608897385499885,-0.8746690571833357,1.0,0.0,-2.871679624884012,0,False,False,True,False
2023-08-29 06:35:00+00:00,46.234818,15.267305,240.0,1.3862943611198906,1.3862943611198906,49.0,1.9459101490553132,17.0,94.0,15.580073953225332,13.169797247612804,0.0,0.0,0.0,6.878532420305234,100.0,7.6,59.0,11.660536978020891,-0.8891620644859025,1.0,0.0,-2.505525936990736,0,False,False,True,False
2023-08-29 07:35:00+00:00,46.234818,15.267305,240.0,2.3978952727983707,1.6094379124341003,35.0,2.1972245773362196,17.4,91.0,15.580073953225332,13.55661854980522,0.1,0.1,0.0,6.8790471148453936,100.0,6.4,52.0,11.866509636549937,-0.8989420935395421,1.0,-0.7884573603642702,-1.9459101490553135,0,False,False,True,False
